iter	Passed	Remaining
0	1	155
1	3	176
2	4	158
3	6	152
4	7	148
5	9	145
6	10	142
7	12	140
8	13	137
9	14	134
10	16	131
11	17	128
12	18	125
13	20	125
14	21	122
15	22	119
16	24	119
17	26	118
18	27	117
19	28	115
20	30	113
21	31	111
22	32	110
23	34	108
24	35	106
25	36	104
26	38	103
27	40	102
28	41	101
29	43	101
30	45	100
31	46	98
32	47	96
33	48	94
34	50	92
35	51	91
36	52	89
37	54	88
38	56	87
39	57	86
40	59	85
41	59	82
42	61	81
43	62	79
44	63	78
45	64	76
46	66	74
47	67	73
48	69	72
49	71	71
50	73	70
51	74	68
52	75	66
53	76	65
54	78	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	87	56
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	95	47
67	97	45
68	98	44
69	100	42
70	101	41
71	102	39
72	103	38
73	105	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	116	22
84	117	20
85	118	19
86	119	17
87	120	16
88	121	15
89	122	13
90	124	12
91	124	10
92	126	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
